Year,Province,District,Latitude,Longitude,Elevation,Month,Cases,Temp_avg,Precipitation_avg,Humidity_avg,Population,Date,Cases_per_1000,Prev_Cases,Case_Growth_Rate,Month_encoded,Month_sin,Month_cos
2020,Uva,Badulla,6.9947276,81.03797,676,6,30,24.128571428571423,2.0071428571428576,72.03571428571429,,2020-06-01,0.0,15.0,1.0,6,1.2246467991473532e-16,-1.0
2020,Uva,Badulla,6.9947276,81.03797,676,7,23,23.51071428571429,5.139285714285713,76.82142857142857,,2020-07-01,0.0,30.0,-0.23333333333333334,7,-0.4999999999999997,-0.8660254037844388
2020,Uva,Badulla,6.9947276,81.03797,676,8,21,24.246428571428574,1.6285714285714283,68.57142857142857,,2020-08-01,0.0,23.0,-0.08695652173913043,8,-0.8660254037844385,-0.5000000000000004
2020,Uva,Badulla,6.9947276,81.03797,676,9,14,23.123214285714283,5.753571428571428,78.89285714285714,,2020-09-01,0.0,21.0,-0.3333333333333333,9,-1.0,-1.8369701987210297e-16
2020,Uva,Badulla,6.9947276,81.03797,676,10,12,23.59285714285714,1.0357142857142858,68.14285714285714,,2020-10-01,0.0,14.0,-0.14285714285714285,10,-0.8660254037844386,0.5000000000000001
2020,Uva,Badulla,6.9947276,81.03797,676,11,17,21.896428571428565,9.735714285714286,89.57142857142857,,2020-11-01,0.0,12.0,0.4166666666666667,11,-0.5000000000000004,0.8660254037844384
2020,Uva,Badulla,6.9947276,81.03797,676,12,30,20.8875,19.603571428571424,91.39285714285714,,2020-12-01,0.0,17.0,0.7647058823529411,12,-2.4492935982947064e-16,1.0
2021,Uva,Badulla,6.9947276,81.03797,676,1,23,20.566071428571423,14.775000000000002,92.57142857142856,,2021-01-01,0.0,30.0,-0.23333333333333334,1,0.49999999999999994,0.8660254037844387
2021,Uva,Badulla,6.9947276,81.03797,676,2,2,20.50178571428572,4.689285714285715,90.03571428571429,,2021-02-01,0.0,23.0,-0.9130434782608695,2,0.8660254037844386,0.5000000000000001
2021,Uva,Badulla,6.9947276,81.03797,676,3,16,21.15,6.0,84.5,,2021-03-01,0.0,2.0,7.0,3,1.0,6.123233995736766e-17
2021,Uva,Badulla,6.9947276,81.03797,676,4,24,22.07321428571429,7.69642857142857,79.85714285714286,,2021-04-01,0.0,16.0,0.5,4,0.8660254037844387,-0.4999999999999998
2021,Uva,Badulla,6.9947276,81.03797,676,5,22,22.930357142857147,6.407142857142858,86.21428571428571,,2021-05-01,0.0,24.0,-0.08333333333333333,5,0.49999999999999994,-0.8660254037844387
2021,Uva,Badulla,6.9947276,81.03797,676,6,67,22.62857142857143,5.760714285714286,77.35714285714286,,2021-06-01,0.0,22.0,2.0454545454545454,6,1.2246467991473532e-16,-1.0
2021,Uva,Badulla,6.9947276,81.03797,676,7,52,23.1875,3.4392857142857136,77.75,,2021-07-01,0.0,67.0,-0.22388059701492538,7,-0.4999999999999997,-0.8660254037844388
2021,Uva,Badulla,6.9947276,81.03797,676,8,20,23.19107142857143,6.335714285714287,76.67857142857143,,2021-08-01,0.0,52.0,-0.6153846153846154,8,-0.8660254037844385,-0.5000000000000004
2021,Uva,Badulla,6.9947276,81.03797,676,9,25,23.0625,6.1000000000000005,79.10714285714286,,2021-09-01,0.0,20.0,0.25,9,-1.0,-1.8369701987210297e-16
2021,Uva,Badulla,6.9947276,81.03797,676,10,105,22.446428571428577,7.103571428571428,82.17857142857143,,2021-10-01,0.0,25.0,3.2,10,-0.8660254037844386,0.5000000000000001
2021,Uva,Badulla,6.9947276,81.03797,676,11,202,21.4125,12.717857142857143,90.25,,2021-11-01,0.0,105.0,0.9238095238095239,11,-0.5000000000000004,0.8660254037844384
2021,Uva,Badulla,6.9947276,81.03797,676,12,205,20.49642857142857,5.907142857142858,90.03571428571429,,2021-12-01,0.0,202.0,0.01485148514851485,12,-2.4492935982947064e-16,1.0
2019,Eastern,Batticaloa,7.6977153,81.65106,10,1,191,25.5625,3.435714285714286,80.89285714285714,,2019-01-01,0.0,,0.0,1,0.49999999999999994,0.8660254037844387
2019,Eastern,Batticaloa,7.6977153,81.65106,10,2,195,26.55178571428572,3.817857142857144,83.92857142857143,,2019-02-01,0.0,191.0,0.020942408376963352,2,0.8660254037844386,0.5000000000000001
2019,Eastern,Batticaloa,7.6977153,81.65106,10,3,218,27.76071428571428,0.6642857142857143,77.60714285714286,,2019-03-01,0.0,195.0,0.11794871794871795,3,1.0,6.123233995736766e-17
2019,Eastern,Batticaloa,7.6977153,81.65106,10,4,128,29.089285714285715,1.6142857142857143,76.67857142857143,,2019-04-01,0.0,218.0,-0.41284403669724773,4,0.8660254037844387,-0.4999999999999998
2019,Eastern,Batticaloa,7.6977153,81.65106,10,5,101,30.11607142857143,0.7964285714285716,74.25,,2019-05-01,0.0,128.0,-0.2109375,5,0.49999999999999994,-0.8660254037844387
2019,Eastern,Batticaloa,7.6977153,81.65106,10,6,74,31.12142857142857,1.3392857142857142,68.14285714285714,,2019-06-01,0.0,101.0,-0.26732673267326734,6,1.2246467991473532e-16,-1.0
2019,Eastern,Batticaloa,7.6977153,81.65106,10,7,84,30.444642857142856,1.1678571428571427,68.28571428571429,,2019-07-01,0.0,74.0,0.13513513513513514,7,-0.4999999999999997,-0.8660254037844388
2019,Eastern,Batticaloa,7.6977153,81.65106,10,8,96,30.225,3.0357142857142856,69.75,,2019-08-01,0.0,84.0,0.14285714285714285,8,-0.8660254037844385,-0.5000000000000004
2019,Eastern,Batticaloa,7.6977153,81.65106,10,9,66,28.52857142857143,5.185714285714285,80.0,,2019-09-01,0.0,96.0,-0.3125,9,-1.0,-1.8369701987210297e-16
2019,Eastern,Batticaloa,7.6977153,81.65106,10,10,164,26.526785714285715,13.72142857142857,87.42857142857143,,2019-10-01,0.0,66.0,1.4848484848484849,10,-0.8660254037844386,0.5000000000000001
2019,Eastern,Batticaloa,7.6977153,81.65106,10,11,511,26.74464285714285,5.949999999999998,86.92857142857143,,2019-11-01,0.0,164.0,2.1158536585365852,11,-0.5000000000000004,0.8660254037844384
2019,Eastern,Batticaloa,7.6977153,81.65106,10,12,1020,26.076785714285712,10.810714285714283,87.60714285714286,,2019-12-01,0.0,511.0,0.9960861056751468,12,-2.4492935982947064e-16,1.0
2020,Eastern,Batticaloa,7.6977153,81.65106,10,1,1088,26.33571428571429,2.253571428571429,81.42857142857143,,2020-01-01,0.0,1020.0,0.06666666666666667,1,0.49999999999999994,0.8660254037844387
2020,Eastern,Batticaloa,7.6977153,81.65106,10,2,650,26.82678571428572,1.7392857142857143,76.25,,2020-02-01,0.0,1088.0,-0.4025735294117647,2,0.8660254037844386,0.5000000000000001
2020,Eastern,Batticaloa,7.6977153,81.65106,10,3,222,27.825,0.4714285714285715,75.10714285714286,,2020-03-01,0.0,650.0,-0.6584615384615384,3,1.0,6.123233995736766e-17
2020,Eastern,Batticaloa,7.6977153,81.65106,10,4,86,28.848214285714285,1.6392857142857142,77.46428571428571,,2020-04-01,0.0,222.0,-0.6126126126126126,4,0.8660254037844387,-0.4999999999999998
2020,Eastern,Batticaloa,7.6977153,81.65106,10,5,84,29.378571428571437,3.8535714285714286,80.10714285714286,,2020-05-01,0.0,86.0,-0.023255813953488372,5,0.49999999999999994,-0.8660254037844387
2020,Eastern,Batticaloa,7.6977153,81.65106,10,6,69,30.44821428571429,2.057142857142857,70.82142857142857,,2020-06-01,0.0,84.0,-0.17857142857142858,6,1.2246467991473532e-16,-1.0
2020,Eastern,Batticaloa,7.6977153,81.65106,10,7,78,29.43928571428572,2.778571428571428,75.82142857142857,,2020-07-01,0.0,69.0,0.13043478260869565,7,-0.4999999999999997,-0.8660254037844388
2020,Eastern,Batticaloa,7.6977153,81.65106,10,8,40,30.2875,0.4107142857142857,66.35714285714286,,2020-08-01,0.0,78.0,-0.48717948717948717,8,-0.8660254037844385,-0.5000000000000004
2020,Eastern,Batticaloa,7.6977153,81.65106,10,9,48,28.72142857142857,7.1571428571428575,77.92857142857143,,2020-09-01,0.0,40.0,0.2,9,-1.0,-1.8369701987210297e-16
2020,Eastern,Batticaloa,7.6977153,81.65106,10,10,236,29.54642857142857,1.567857142857143,70.71428571428571,,2020-10-01,0.0,48.0,3.9166666666666665,10,-0.8660254037844386,0.5000000000000001
2020,Eastern,Batticaloa,7.6977153,81.65106,10,11,276,26.68035714285714,7.017857142857144,87.60714285714286,,2020-11-01,0.0,236.0,0.1694915254237288,11,-0.5000000000000004,0.8660254037844384
2020,Eastern,Batticaloa,7.6977153,81.65106,10,12,840,25.75535714285714,11.51785714285714,87.64285714285714,,2020-12-01,0.0,276.0,2.0434782608695654,12,-2.4492935982947064e-16,1.0
2021,Eastern,Batticaloa,7.6977153,81.65106,10,1,1276,25.778571428571432,7.517857142857143,85.96428571428571,,2021-01-01,0.0,840.0,0.5190476190476191,1,0.49999999999999994,0.8660254037844387
2021,Eastern,Batticaloa,7.6977153,81.65106,10,2,1214,25.88392857142857,2.1678571428571427,82.32142857142857,,2021-02-01,0.0,1276.0,-0.048589341692789965,2,0.8660254037844386,0.5000000000000001
2021,Eastern,Batticaloa,7.6977153,81.65106,10,3,450,26.975,2.932142857142857,81.14285714285714,,2021-03-01,0.0,1214.0,-0.6293245469522241,3,1.0,6.123233995736766e-17
2021,Eastern,Batticaloa,7.6977153,81.65106,10,4,249,28.36607142857143,2.5464285714285717,80.42857142857143,,2021-04-01,0.0,450.0,-0.44666666666666666,4,0.8660254037844387,-0.4999999999999998
2021,Eastern,Batticaloa,7.6977153,81.65106,10,5,115,28.88214285714286,4.92857142857143,80.21428571428571,,2021-05-01,0.0,249.0,-0.5381526104417671,5,0.49999999999999994,-0.8660254037844387
2021,Eastern,Batticaloa,7.6977153,81.65106,10,6,48,30.0375,3.528571428571429,70.03571428571429,,2021-06-01,0.0,115.0,-0.5826086956521739,6,1.2246467991473532e-16,-1.0
2021,Eastern,Batticaloa,7.6977153,81.65106,10,7,21,30.07678571428572,2.932142857142857,68.85714285714286,,2021-07-01,0.0,48.0,-0.5625,7,-0.4999999999999997,-0.8660254037844388
2021,Eastern,Batticaloa,7.6977153,81.65106,10,8,7,29.635714285714293,3.221428571428572,72.5,,2021-08-01,0.0,21.0,-0.6666666666666666,8,-0.8660254037844385,-0.5000000000000004
2021,Eastern,Batticaloa,7.6977153,81.65106,10,9,7,29.478571428571428,3.757142857142857,75.03571428571429,,2021-09-01,0.0,7.0,0.0,9,-1.0,-1.8369701987210297e-16
2021,Eastern,Batticaloa,7.6977153,81.65106,10,10,21,27.84821428571429,6.317857142857142,81.92857142857143,,2021-10-01,0.0,7.0,2.0,10,-0.8660254037844386,0.5000000000000001
2021,Eastern,Batticaloa,7.6977153,81.65106,10,11,31,26.44821428571429,11.239285714285714,88.60714285714286,,2021-11-01,0.0,21.0,0.47619047619047616,11,-0.5000000000000004,0.8660254037844384
2021,Eastern,Batticaloa,7.6977153,81.65106,10,12,76,26.08750000000001,3.153571428571429,82.96428571428571,,2021-12-01,0.0,31.0,1.4516129032258065,12,-2.4492935982947064e-16,1.0
2019,Western,Colombo,6.924429,79.90725,4,1,1225,26.914285714285715,0.7714285714285714,72.60714285714286,,2019-01-01,0.0,,0.0,1,0.49999999999999994,0.8660254037844387
2019,Western,Colombo,6.924429,79.90725,4,2,792,27.18571428571429,4.30357142857143,80.46428571428571,,2019-02-01,0.0,1225.0,-0.35346938775510206,2,0.8660254037844386,0.5000000000000001
2019,Western,Colombo,6.924429,79.90725,4,3,815,27.82678571428572,2.4750000000000005,77.64285714285714,,2019-03-01,0.0,792.0,0.02904040404040404,3,1.0,6.123233995736766e-17
2019,Western,Colombo,6.924429,79.90725,4,4,579,28.39285714285714,3.5035714285714272,78.42857142857143,,2019-04-01,0.0,815.0,-0.28957055214723926,4,0.8660254037844387,-0.4999999999999998
2019,Western,Colombo,6.924429,79.90725,4,5,866,28.02857142857143,4.110714285714286,82.46428571428571,,2019-05-01,0.0,579.0,0.49568221070811747,5,0.49999999999999994,-0.8660254037844387
2019,Western,Colombo,6.924429,79.90725,4,6,1126,27.728571428571428,10.178571428571429,84.32142857142857,,2019-06-01,0.0,866.0,0.3002309468822171,6,1.2246467991473532e-16,-1.0
2019,Western,Colombo,6.924429,79.90725,4,7,1857,27.321428571428573,6.05,83.5,,2019-07-01,0.0,1126.0,0.6492007104795737,7,-0.4999999999999997,-0.8660254037844388
2019,Western,Colombo,6.924429,79.90725,4,8,1903,26.65,12.95,87.07142857142857,,2019-08-01,0.0,1857.0,0.024771136241249325,8,-0.8660254037844385,-0.5000000000000004
2019,Western,Colombo,6.924429,79.90725,4,9,1462,26.355357142857144,12.203571428571433,88.35714285714286,,2019-09-01,0.0,1903.0,-0.23173935890698896,9,-1.0,-1.8369701987210297e-16
2019,Western,Colombo,6.924429,79.90725,4,10,2593,25.89821428571429,16.79642857142857,89.67857142857143,,2019-10-01,0.0,1462.0,0.7735978112175103,10,-0.8660254037844386,0.5000000000000001
2019,Western,Colombo,6.924429,79.90725,4,11,4217,26.205357142857142,12.66785714285714,89.14285714285714,,2019-11-01,0.0,2593.0,0.6263015811801003,11,-0.5000000000000004,0.8660254037844384
2019,Western,Colombo,6.924429,79.90725,4,12,3283,26.34464285714285,5.703571428571428,87.35714285714286,,2019-12-01,0.0,4217.0,-0.2214844676310173,12,-2.4492935982947064e-16,1.0
2020,Western,Colombo,6.924429,79.90725,4,1,1693,26.882142857142853,0.7107142857142856,78.21428571428571,,2020-01-01,0.0,3283.0,-0.4843131282363692,1,0.49999999999999994,0.8660254037844387
2020,Western,Colombo,6.924429,79.90725,4,2,767,28.030357142857145,0.8535714285714285,73.07142857142857,,2020-02-01,0.0,1693.0,-0.5469580626107502,2,0.8660254037844386,0.5000000000000001
2020,Western,Colombo,6.924429,79.90725,4,3,235,28.105357142857144,1.135714285714286,77.67857142857143,,2020-03-01,0.0,767.0,-0.6936114732724902,3,1.0,6.123233995736766e-17
2020,Western,Colombo,6.924429,79.90725,4,4,30,27.95892857142857,5.271428571428571,82.39285714285714,,2020-04-01,0.0,235.0,-0.8723404255319149,4,0.8660254037844387,-0.4999999999999998
2020,Western,Colombo,6.924429,79.90725,4,5,189,27.8625,9.482142857142858,85.96428571428571,,2020-05-01,0.0,30.0,5.3,5,0.49999999999999994,-0.8660254037844387
2020,Western,Colombo,6.924429,79.90725,4,6,294,27.51428571428572,8.910714285714286,85.28571428571429,,2020-06-01,0.0,189.0,0.5555555555555556,6,1.2246467991473532e-16,-1.0
2020,Western,Colombo,6.924429,79.90725,4,7,324,26.92857142857143,7.796428571428572,86.60714285714286,,2020-07-01,0.0,294.0,0.10204081632653061,7,-0.4999999999999997,-0.8660254037844388
2020,Western,Colombo,6.924429,79.90725,4,8,231,26.94464285714286,6.785714285714284,86.35714285714286,,2020-08-01,0.0,324.0,-0.28703703703703703,8,-0.8660254037844385,-0.5000000000000004
2020,Western,Colombo,6.924429,79.90725,4,9,192,26.276785714285708,12.589285714285712,87.96428571428571,,2020-09-01,0.0,231.0,-0.16883116883116883,9,-1.0,-1.8369701987210297e-16
2020,Western,Colombo,6.924429,79.90725,4,10,151,26.82678571428572,3.710714285714286,84.28571428571429,,2020-10-01,0.0,192.0,-0.21354166666666666,10,-0.8660254037844386,0.5000000000000001
2020,Western,Colombo,6.924429,79.90725,4,11,59,26.475,13.275,87.25,,2020-11-01,0.0,151.0,-0.609271523178808,11,-0.5000000000000004,0.8660254037844384
2020,Western,Colombo,6.924429,79.90725,4,12,92,25.932142857142853,4.803571428571429,85.03571428571429,,2020-12-01,0.0,59.0,0.559322033898305,12,-2.4492935982947064e-16,1.0
2021,Western,Colombo,6.924429,79.90725,4,1,208,25.755357142857143,9.114285714285714,85.85714285714286,,2021-01-01,0.0,92.0,1.2608695652173914,1,0.49999999999999994,0.8660254037844387
2021,Western,Colombo,6.924429,79.90725,4,2,388,26.7,0.8214285714285714,77.78571428571429,,2021-02-01,0.0,208.0,0.8653846153846154,2,0.8660254037844386,0.5000000000000001
2021,Western,Colombo,6.924429,79.90725,4,3,677,26.616071428571427,7.067857142857142,83.53571428571429,,2021-03-01,0.0,388.0,0.7448453608247423,3,1.0,6.123233995736766e-17
2021,Western,Colombo,6.924429,79.90725,4,4,773,27.269642857142856,3.4428571428571435,84.25,,2021-04-01,0.0,677.0,0.14180206794682423,4,0.8660254037844387,-0.4999999999999998
2021,Western,Colombo,6.924429,79.90725,4,5,588,27.276785714285715,14.660714285714286,86.46428571428571,,2021-05-01,0.0,773.0,-0.23932729624838292,5,0.49999999999999994,-0.8660254037844387
2021,Western,Colombo,6.924429,79.90725,4,6,1235,26.98214285714285,8.639285714285718,85.03571428571429,,2021-06-01,0.0,588.0,1.1003401360544218,6,1.2246467991473532e-16,-1.0
2021,Western,Colombo,6.924429,79.90725,4,7,1286,26.925,9.696428571428571,85.42857142857143,,2021-07-01,0.0,1235.0,0.04129554655870445,7,-0.4999999999999997,-0.8660254037844388
